
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. m2s010_som, 1150, 903, 430, 0, 0, 2, 0, 17, 122
.	. CommsFPGA_top, 1026, 821, 414, 0, 0, 2, 0, 7, 0
.	.	. FIFOs, 314, 140, 141, 0, 0, 2, 0, 1, 0
.	.	.	. FIFO_2Kx8, 156, 72, 70, 0, 0, 1, 0, 0, 0
.	.	.	.	. FIFO_2Kx8_FIFO_2Kx8_0_COREFIFO, 156, 72, 70, 0, 0, 1, 0, 0, 0
.	.	.	.	.	. FIFO_2Kx8_FIFO_2Kx8_0_corefifo_async, 144, 61, 70, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_2Kx8_FIFO_2Kx8_0_corefifo_doubleSync_0, 24, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_2Kx8_FIFO_2Kx8_0_corefifo_doubleSync_1, 24, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_2Kx8_FIFO_2Kx8_0_corefifo_grayToBinConv, 0, 11, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_2Kx8_FIFO_2Kx8_0_corefifo_grayToBinConv_0, 0, 13, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. FIFO_2Kx8_FIFO_2Kx8_0_ram_wrapper, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. FIFO_2Kx8_FIFO_2Kx8_0_LSRAM_top, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. FIFO_8Kx9, 158, 66, 71, 0, 0, 1, 0, 0, 0
.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_COREFIFO, 158, 66, 71, 0, 0, 1, 0, 0, 0
.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_async, 145, 62, 71, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_doubleSync_0, 24, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_doubleSync_1, 24, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_grayToBinConv, 0, 13, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_grayToBinConv_0, 0, 11, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_ram_wrapper, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_LSRAM_top, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	. ManchesDecoder, 197, 172, 86, 0, 0, 0, 0, 2, 0
.	.	.	. AFE_RX_SM, 17, 21, 9, 0, 0, 0, 0, 1, 0
.	.	.	. ManchesDecoder_Adapter, 42, 23, 17, 0, 0, 0, 0, 0, 0
.	.	.	.	. IdleLineDetector_1, 17, 6, 17, 0, 0, 0, 0, 0, 0
.	.	.	. ReadFIFO_Write_SM, 138, 128, 60, 0, 0, 0, 0, 1, 0
.	.	.	.	. CRC16_Generator_1, 16, 13, 0, 0, 0, 0, 0, 0, 0
.	.	. ManchesEncoder, 133, 112, 80, 0, 0, 0, 0, 1, 0
.	.	.	. CRC16_Generator_0, 16, 13, 0, 0, 0, 0, 0, 0, 0
.	.	.	. TX_Collision_Detector, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	. TX_SM, 103, 61, 80, 0, 0, 0, 0, 0, 0
